name ,team,image,
Richard Ngarava,Zimbabwe,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FRichard%20Ngarava%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1,done 
Tendai Chatara,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316683.png",done 
Blessing Muzarabani,Zimbabwe,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FBlessing%20Muzarabani%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Hazratullah Zazai,Afghanistan,https://nuvuniversity-my.sharepoint.com/:i:/g/personal/chopda_m_parshottambhai_nuv_ac_in/IQDSoNqctYLIQ4u8FQ7yKCZxAY_XNTxDW_wiavGPYy-0UVE?e=UnowC2 ,done 
Rahmanullah Gurbaz,Afghanistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FRahmanullah%20Gurbaz%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Ibrahim Zadran,Afghanistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FIbrahim%20Zadran%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Usman Ghani,Afghanistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FUsman%20Ghani%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Najibullah Zadran,Afghanistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FNajibullah%20Zadran%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Mohammad Nabi,Afghanistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FMohammad%20Nabi%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Azmatullah Omarzai,Afghanistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FAzmatullah%20Omarzai%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
